date,coin_id,symbol,price_usd,total_volume_usd,daily_return,log_return,roll_vol_30d,roll_mean_30d
2018-04-06,binancecoin,BNB,12.2599,38651401.407442,-0.018328422266350564,-0.018498468792371235,1.5815309290617805,10.424706666666669
2018-04-07,binancecoin,BNB,12.5,40619324.091952,0.019584172790968912,0.019394870440306928,1.540626820876659,10.565696666666668
2018-04-08,binancecoin,BNB,12.1311,37945714.872477,-0.029511999999999983,-0.029956241209949136,1.5476482204091389,10.694043333333333
2018-04-09,binancecoin,BNB,11.8888,36295327.01358,-0.019973456652735533,-0.020175622636083697,1.516893184676049,10.835336666666668
2018-04-10,binancecoin,BNB,12.0904,41694196.558433,0.016957136128120665,0.016814968811551336,1.4998423500689024,10.96275
2018-04-11,binancecoin,BNB,12.33,40544573.621479,0.01981737576920528,0.01962356790247904,1.4925170991327457,11.10595
2018-04-12,binancecoin,BNB,13.0087,60784049.312556,0.05504460665044597,0.05358304721946255,1.260161165003679,11.198946666666666
2018-04-13,binancecoin,BNB,13.52,70417293.134669,0.03930446547310651,0.03855170621910252,1.15232227888389,11.352136666666667
2018-04-14,binancecoin,BNB,13.2888,47242696.623243,-0.017100591715976332,-0.01724849542008797,1.1571322572011784,11.491606666666666
2018-04-15,binancecoin,BNB,13.0989,50966457.161287,-0.014290229366082707,-0.014393317978905994,1.159498649112111,11.626086666666668
2018-04-16,binancecoin,BNB,12.2342,33604249.542756,-0.0660131766789579,-0.06829294864612709,1.1895829702938605,11.736456666666667
2018-04-17,binancecoin,BNB,11.777,29830190.391654,-0.037370649490771846,-0.038086831710285755,1.201517900663868,11.830196666666666
2018-04-18,binancecoin,BNB,12.2999,32476880.961602,0.04440010189352117,0.04344265540461019,1.2074519133688282,11.939026666666669
2018-04-19,binancecoin,BNB,12.361,29469321.849412,0.004967520061138764,0.004955222641664433,1.2075162450550818,12.045666666666667
2018-04-20,binancecoin,BNB,12.5858,33661511.198102,0.018186230887468735,0.01802283940062233,1.1771127094357292,12.132603333333334
2018-04-21,binancecoin,BNB,13.3302,59501254.836204,0.059146021707003005,0.05746294352269144,1.1898305472033537,12.240923333333335
2018-04-22,binancecoin,BNB,12.8888,33398981.918383,-0.03311278150365338,-0.03367342063436011,1.0802227865608593,12.279226666666666
2018-04-23,binancecoin,BNB,13.645,60098620.413938,0.058671094283408776,0.05701443696566192,1.0144313163470215,12.292733333333333
2018-04-24,binancecoin,BNB,15.0895,69952675.332401,0.10586295346280683,0.10062598354431887,1.0681392442788433,12.364049999999999
2018-04-25,binancecoin,BNB,13.3999,73903160.466492,-0.11197190099075505,-0.11875189346216805,1.1216895150477801,12.409046666666665
2018-04-26,binancecoin,BNB,14.63,59387951.330058,0.09179919253128754,0.0878269707895804,1.1458153015359271,12.512033333333333
2018-04-27,binancecoin,BNB,14.2396,41808566.925412,-0.0266848940533152,-0.027047399330372063,1.1520881403264764,12.59706
2018-04-28,binancecoin,BNB,15.2011,56833811.863934,0.06752296412820602,0.06534097795315466,1.0451873086647463,12.764173333333334
2018-04-29,binancecoin,BNB,15.0489,42480975.988898,-0.010012433310747304,-0.010062894832109835,1.048014621882253,12.919286666666668
2018-04-30,binancecoin,BNB,14.3291,30209221.620393,-0.04783073845928931,-0.049012464258519774,1.053855619162846,13.028556666666667
2018-05-01,binancecoin,BNB,14.1711,27657821.700012,-0.011026512481593476,-0.01108775508133058,1.0559065934698162,13.131703333333332
2018-05-02,binancecoin,BNB,14.439,29709562.929623,0.01890467218493974,0.018728199506226628,0.9634102185431833,13.193016666666667
2018-05-03,binancecoin,BNB,14.6999,36292488.943135,0.01806911835999725,0.01790781205138158,0.9478744234177701,13.239513333333333
2018-05-04,binancecoin,BNB,14.3622,27098755.546115,-0.022972945394186373,-0.023240935812200686,0.8975184278379628,13.311253333333333
2018-05-05,binancecoin,BNB,14.4468,27029269.399087,0.00589046246396796,0.005873181518581134,0.8953861645470916,13.37652
2018-05-06,binancecoin,BNB,14.012,30025181.617622,-0.030096630395658464,-0.030558831411603517,0.9003198336294583,13.434923333333332
2018-05-07,binancecoin,BNB,13.71,22175899.267109,-0.02155295461033402,-0.021788611761017377,0.9031727666545736,13.475256666666667
2018-05-08,binancecoin,BNB,13.4981,19482429.030432,-0.015455871626549933,-0.01557655877548738,0.8979302191531101,13.520823333333333
2018-05-09,binancecoin,BNB,14.6417,36481965.563171,0.08472303509382795,0.08132468721157834,0.9332635121804242,13.612586666666665
2018-05-10,binancecoin,BNB,13.7957,23814558.641313,-0.057780175799258315,-0.05951667260561393,0.9606772350038272,13.66943
2018-05-11,binancecoin,BNB,12.9884,20738478.5111,-0.05851823394246036,-0.060300297978960936,0.9848795174429519,13.691376666666667
2018-05-12,binancecoin,BNB,12.9319,16197273.119535,-0.004350035416217479,-0.004359524348404647,0.9670629398119309,13.688816666666668
2018-05-13,binancecoin,BNB,13.1515,24594243.795183,0.01698126338743733,0.01683869348219381,0.9590452128944977,13.676533333333333
2018-05-14,binancecoin,BNB,12.8388,19732255.177098,-0.023776755503174485,-0.024063984609104087,0.9607986425355699,13.661533333333333
2018-05-15,binancecoin,BNB,12.5389,16663163.294407,-0.02335888089229532,-0.023636023891457837,0.9629408066253492,13.642866666666666
2018-05-16,binancecoin,BNB,12.2901,13060083.293062,-0.019842250915152015,-0.020041751817624406,0.935094417350964,13.644730000000001
2018-05-17,binancecoin,BNB,12.3777,21540904.479208,0.007127688139233923,0.007102406233402385,0.9250671586992739,13.664753333333334
2018-05-18,binancecoin,BNB,15.1363,81466417.283873,0.22286854585262206,0.20119936593434165,1.1508579295535117,13.7593
2018-05-19,binancecoin,BNB,14.33,50229062.774402,-0.05326929302405481,-0.054740590569005654,1.1708025710352754,13.824933333333332
2018-05-20,binancecoin,BNB,14.1666,33610874.334164,-0.01140265177948352,-0.011468160471244585,1.1711696683574337,13.877626666666666
2018-05-21,binancecoin,BNB,14.6996,36338921.301102,0.03762370646450086,0.03693320116127809,1.1615113238002186,13.923273333333333
2018-05-22,binancecoin,BNB,13.888,33956032.257857,-0.05521238673161177,-0.05679512461211972,1.1735029234840157,13.95658
2018-05-23,binancecoin,BNB,12.4998,28603983.614628,-0.09995679723502304,-0.10531251373774028,1.214455039686395,13.918406666666668
2018-05-24,binancecoin,BNB,13.0288,20037253.753531,0.042320677130833984,0.041449647550475636,1.1675874635608894,13.849716666666668
2018-05-25,binancecoin,BNB,13.0129,17063650.325735,-0.001220373326783708,-0.0012211185887056207,1.0929198602595382,13.836816666666667
2018-05-26,binancecoin,BNB,12.7888,15801577.021713,-0.017221372637920784,-0.01737138525240657,1.0459242121615595,13.775443333333333
2018-05-27,binancecoin,BNB,12.6046,13519380.343815,-0.014403227824346332,-0.014507961192362119,1.0434310039000576,13.720943333333333
